Wrestler,Wins,Losses,Draws
Dolph Ziggler,134,60,2
Seth Rollins,87,105,4
Jimmy Uso,143,43,4
Cesaro,64,120,1
Jey Uso,139,42,4
Goldust,101,77,1
Bray Wyatt,49,129,0
Jack Swagger,49,123,1
Luke Harper,31,140,1
Sheamus,141,29,2
Dean Ambrose,129,36,2
Erick Rowan,38,124,2
John Cena,141,23,0
Titus O'Neil,29,132,1
Ryback,43,114,1
Curtis Axel,22,132,1
Kofi Kingston,82,72,1
Roman Reigns,118,28,4
Fandango,20,124,1
Alicia Fox,27,116,0
Kane,10,126,1
Paige,84,47,2
The Miz,40,92,1
Big E,84,48,0
Sin Cara,81,49,0
The Big Show,107,21,2
Natalya,80,47,0
Randy Orton,33,87,5
Diego,78,42,1
Heath Slater,11,106,1
Damien Sandow,3,113,0
Alberto Del Rio,31,82,1
Nikki Bella,75,39,0
Bo Dallas,52,60,1
Adrian Neville,92,18,1
Fernando,70,39,1
R-Truth,61,49,0
Rusev,80,30,0
Adam Rose,86,21,0
Tyson Kidd,37,70,0
Sami Zayn,54,52,0
Emma,74,26,0
Stardust,52,45,0
AJ Lee,58,35,0
Cody Rhodes,46,43,1
Naomi,71,16,2
Cameron,36,51,1
Tyler Breeze,29,53,2
Viktor,51,33,0
Xavier Woods,33,45,1
Konnor,49,29,0
Bad News Barrett,58,17,2
Bayley,46,31,0
Charlotte,40,36,0
Summer Rae,19,55,2
Aiden English,37,37,0
Mark Henry,49,22,1
Sasha Banks,26,46,0
Baron Corbin,55,16,0
Brie Bella,51,19,1
Colin Cassady,47,23,1
Layla,12,56,2
Simon Gotch,35,31,0
CJ Parker,24,41,0
Rob Van Dam,28,35,2
Kalisto,51,10,0
Zack Ryder,8,53,0
Drew McIntyre,1,56,2
Aksana,5,53,0
Jason Jordan,18,40,0
Justin Gabriel,3,53,1
Bull Dempsey,35,20,0
Jinder Mahal,1,51,2
Daniel Bryan,35,16,2
El Torito,48,5,0
Tye Dillinger,14,39,0
Damien Mizdow,11,39,0
Wesley Blake,10,39,0
Becky Lynch,27,21,0
The Great Khali,40,6,0
Dash Wilder,11,33,0
Alexa Bliss,24,19,0
Tamina Snuka,6,36,0
Scott Dawson,12,29,0
Alexander Rusev,37,2,1
Hornswoggle,3,37,0
Enzo Amore,29,9,1
Eva Marie,22,15,1
Sawyer Fulton,5,32,0
Rosa Mendes,2,33,1
Angelo Dawkins,12,23,0
Buddy Murphy,7,28,0
Marcus Louis,16,18,1
Darren Young,26,8,0
Batista,15,13,4
Mojo Rawley,23,9,0
Chris Jericho,25,5,1
Solomon Crowe,10,21,0
Sylvester Lefort,7,23,1
Antonio Cesaro,5,24,0
Carmella,11,18,0
Santino Marella,15,11,0
Brodus Clay,3,21,1
Hideo Itami,24,0,1
Big E. Langston,19,4,1
Christian,10,14,0
Elias Sampson,3,21,0
Chad Gable,5,17,0
Mason Ryan,15,5,0
Rey Mysterio,8,11,0
Steve Cutler,4,15,0
Billy Gunn,7,10,1
Camacho,5,13,0
Road Dogg,7,10,1
Corey Graves,9,7,0
Dana Brooke,4,10,0
CM Punk,9,4,0
Travis Tyler,8,5,0
Finn Balor,9,3,0
Kendall Skye,3,9,0
